city_name,city_code,forecast_dt,temp_celsius,feels_like_celsius,humidity_pct,pressure_hpa,wind_speed_ms,weather_description,cloud_cover_pct,country,region,population_tier,utc_offset_hours,feels_like_delta,humidity_category,heat_index,data_quality_flag,is_rejected
Berlin,BER,09-04-2026,5.21,2.53,67,1028.0,3.33,clear sky,6,Germany,Europe,Large,1,2.68,Normal,COLD,,false
Berlin,BER,09-04-2026,0.6,-2.71,66,1028.0,2.92,broken clouds,59,Germany,Europe,Large,1,3.31,Normal,COLD,,false
Berlin,BER,09-04-2026,0.74,-2.47,64,1028.0,2.84,broken clouds,79,Germany,Europe,Large,1,3.21,Normal,COLD,,false
Berlin,BER,09-04-2026,9.28,7.66,35,1027.0,2.98,overcast clouds,99,Germany,Europe,Large,1,1.6199999,Normal,COLD,,false
Berlin,BER,09-04-2026,11.38,9.2,24,1025.0,3.2,broken clouds,60,Germany,Europe,Large,1,2.1800003,Normal,COLD,,false
Berlin,BER,09-04-2026,11.41,9.29,26,1023.0,3.17,clear sky,4,Germany,Europe,Large,1,2.12,Normal,COLD,,false
Berlin,BER,09-04-2026,8.74,6.84,35,1022.0,3.26,clear sky,3,Germany,Europe,Large,1,1.8999996,Normal,COLD,,false
Berlin,BER,09-04-2026,6.13,4.1,42,1022.0,2.67,clear sky,1,Germany,Europe,Large,1,2.0300002,Normal,COLD,,false
Berlin,BER,10-04-2026,4.15,0.56,48,1020.0,4.44,scattered clouds,29,Germany,Europe,Large,1,3.5900002,Normal,COLD,,false
Berlin,BER,10-04-2026,3.52,0.03,50,1019.0,4.01,overcast clouds,100,Germany,Europe,Large,1,3.49,Normal,COLD,,false
Berlin,BER,10-04-2026,3.86,0.0,51,1017.0,4.82,overcast clouds,100,Germany,Europe,Large,1,3.86,Normal,COLD,,false
Berlin,BER,10-04-2026,3.96,0.73,70,1018.0,3.76,light snow,100,Germany,Europe,Large,1,3.23,Normal,COLD,,false
Berlin,BER,10-04-2026,6.47,5.39,72,1018.0,1.7,light rain,100,Germany,Europe,Large,1,1.0799999,High,COLD,,false
Berlin,BER,10-04-2026,4.55,2.16,93,1019.0,2.75,light rain,100,Germany,Europe,Large,1,2.39,High,COLD,,false
Berlin,BER,10-04-2026,4.63,3.69,85,1020.0,1.38,broken clouds,74,Germany,Europe,Large,1,0.94000006,High,COLD,,false
Berlin,BER,10-04-2026,3.47,2.11,90,1021.0,1.57,clear sky,3,Germany,Europe,Large,1,1.3600001,High,COLD,,false
Berlin,BER,11-04-2026,3.05,1.67,89,1021.0,1.54,scattered clouds,27,Germany,Europe,Large,1,1.38,High,COLD,,false
Berlin,BER,11-04-2026,2.46,1.15,89,1020.0,1.43,broken clouds,52,Germany,Europe,Large,1,1.3100001,High,COLD,,false
Berlin,BER,11-04-2026,3.79,3.79,80,1021.0,1.27,scattered clouds,28,Germany,Europe,Large,1,0.0,High,COLD,,false
Berlin,BER,11-04-2026,9.0,8.33,54,1020.0,1.67,clear sky,5,Germany,Europe,Large,1,0.6700001,Normal,COLD,,false
Berlin,BER,11-04-2026,12.71,10.87,32,1018.0,2.93,clear sky,9,Germany,Europe,Large,1,1.8400002,Normal,COLD,,false
Berlin,BER,11-04-2026,13.89,12.12,30,1016.0,3.07,clear sky,9,Germany,Europe,Large,1,1.7700005,Normal,COLD,,false
Berlin,BER,11-04-2026,10.88,9.15,43,1016.0,3.2,scattered clouds,28,Germany,Europe,Large,1,1.7300005,Normal,COLD,,false
Berlin,BER,11-04-2026,8.28,5.79,51,1015.0,4.21,few clouds,24,Germany,Europe,Large,1,2.4899998,Normal,COLD,,false
Berlin,BER,12-04-2026,6.97,3.76,57,1014.0,5.1,scattered clouds,34,Germany,Europe,Large,1,3.2099998,Normal,COLD,,false
Berlin,BER,12-04-2026,5.96,3.17,61,1013.0,3.77,scattered clouds,49,Germany,Europe,Large,1,2.79,Normal,COLD,,false
Berlin,BER,12-04-2026,6.7,4.31,62,1013.0,3.37,broken clouds,74,Germany,Europe,Large,1,2.3899999,Normal,COLD,,false
Berlin,BER,12-04-2026,6.3,5.44,81,1014.0,1.49,light rain,100,Germany,Europe,Large,1,0.86000013,High,COLD,,false
Berlin,BER,12-04-2026,6.24,5.32,87,1014.0,1.53,light rain,100,Germany,Europe,Large,1,0.9199996,High,COLD,,false
Berlin,BER,12-04-2026,6.53,4.68,91,1015.0,2.54,overcast clouds,100,Germany,Europe,Large,1,1.8500004,High,COLD,,false
Berlin,BER,12-04-2026,6.3,6.3,92,1016.0,1.3,light rain,100,Germany,Europe,Large,1,0.0,High,COLD,,false
Berlin,BER,12-04-2026,6.26,6.26,91,1016.0,1.08,overcast clouds,100,Germany,Europe,Large,1,0.0,High,COLD,,false
Berlin,BER,13-04-2026,6.09,5.09,92,1016.0,1.58,overcast clouds,100,Germany,Europe,Large,1,1.0,High,COLD,,false
Berlin,BER,13-04-2026,5.71,5.71,92,1016.0,1.2,overcast clouds,100,Germany,Europe,Large,1,0.0,High,COLD,,false
Berlin,BER,13-04-2026,6.39,6.39,85,1016.0,1.15,overcast clouds,100,Germany,Europe,Large,1,0.0,High,COLD,,false
Berlin,BER,13-04-2026,8.24,7.46,73,1016.0,1.67,overcast clouds,100,Germany,Europe,Large,1,0.77999973,High,COLD,,false
Berlin,BER,13-04-2026,9.91,8.58,61,1016.0,2.71,overcast clouds,100,Germany,Europe,Large,1,1.3299999,Normal,COLD,,false
Berlin,BER,13-04-2026,8.74,6.96,74,1016.0,3.06,overcast clouds,100,Germany,Europe,Large,1,1.7799997,High,COLD,,false
Berlin,BER,13-04-2026,7.5,6.79,91,1016.0,1.51,light rain,100,Germany,Europe,Large,1,0.71000004,High,COLD,,false
Berlin,BER,13-04-2026,7.25,6.01,93,1017.0,1.98,light rain,100,Germany,Europe,Large,1,1.2399998,High,COLD,,false
Cairo,CAI,09-04-2026,18.46,17.54,45,1019.0,2.08,clear sky,0,Egypt,Africa,Large,2,0.91999817,Normal,MILD,,false
Cairo,CAI,09-04-2026,16.79,15.8,49,1018.0,2.26,clear sky,0,Egypt,Africa,Large,2,0.9900007,Normal,MILD,,false
Cairo,CAI,09-04-2026,17.79,16.56,36,1018.0,3.44,clear sky,0,Egypt,Africa,Large,2,1.2300014,Normal,MILD,,false
Cairo,CAI,09-04-2026,23.18,22.05,19,1017.0,4.95,clear sky,0,Egypt,Africa,Large,2,1.1300011,Normal,MILD,,false
Cairo,CAI,09-04-2026,26.08,26.08,14,1015.0,5.68,clear sky,2,Egypt,Africa,Large,2,0.0,Normal,HOT,,false
Cairo,CAI,09-04-2026,25.91,24.95,15,1015.0,6.82,broken clouds,56,Egypt,Africa,Large,2,0.9599991,Normal,HOT,,false
Cairo,CAI,09-04-2026,22.28,21.29,28,1016.0,5.68,broken clouds,78,Egypt,Africa,Large,2,0.9899998,Normal,MILD,,false
Cairo,CAI,09-04-2026,19.32,18.25,36,1017.0,3.63,overcast clouds,98,Egypt,Africa,Large,2,1.0699997,Normal,MILD,,false
Cairo,CAI,10-04-2026,17.85,16.81,43,1016.0,1.51,broken clouds,63,Egypt,Africa,Large,2,1.0400009,Normal,MILD,,false
Cairo,CAI,10-04-2026,17.02,15.95,45,1016.0,2.18,clear sky,8,Egypt,Africa,Large,2,1.0700006,Normal,MILD,,false
Cairo,CAI,10-04-2026,18.98,17.93,38,1017.0,3.21,clear sky,6,Egypt,Africa,Large,2,1.0499992,Normal,MILD,,false
Cairo,CAI,10-04-2026,23.99,23.05,23,1017.0,4.72,clear sky,0,Egypt,Africa,Large,2,0.94000053,Normal,MILD,,false
Cairo,CAI,10-04-2026,26.42,26.42,18,1015.0,5.98,clear sky,0,Egypt,Africa,Large,2,0.0,Normal,HOT,,false
Cairo,CAI,10-04-2026,26.01,26.01,20,1015.0,6.09,clear sky,0,Egypt,Africa,Large,2,0.0,Normal,HOT,,false
Cairo,CAI,10-04-2026,21.7,20.92,38,1017.0,7.04,clear sky,0,Egypt,Africa,Large,2,0.7800007,Normal,MILD,,false
Cairo,CAI,10-04-2026,18.15,17.51,57,1018.0,4.16,clear sky,0,Egypt,Africa,Large,2,0.6399994,Normal,MILD,,false
Cairo,CAI,11-04-2026,16.61,16.0,64,1017.0,2.82,clear sky,0,Egypt,Africa,Large,2,0.6100006,Normal,MILD,,false
Cairo,CAI,11-04-2026,15.41,14.91,73,1017.0,2.79,clear sky,0,Egypt,Africa,Large,2,0.5,High,MILD,,false
Cairo,CAI,11-04-2026,16.99,16.49,67,1018.0,1.91,clear sky,0,Egypt,Africa,Large,2,0.5,Normal,MILD,,false
Cairo,CAI,11-04-2026,21.88,21.22,42,1018.0,2.63,clear sky,0,Egypt,Africa,Large,2,0.65999985,Normal,MILD,,false
Cairo,CAI,11-04-2026,26.0,26.0,27,1016.0,5.23,clear sky,0,Egypt,Africa,Large,2,0.0,Normal,HOT,,false
Cairo,CAI,11-04-2026,26.4,26.4,25,1015.0,5.66,few clouds,22,Egypt,Africa,Large,2,0.0,Normal,HOT,,false
Cairo,CAI,11-04-2026,21.02,20.25,41,1018.0,6.63,few clouds,24,Egypt,Africa,Large,2,0.77000046,Normal,MILD,,false
Cairo,CAI,11-04-2026,18.02,17.24,52,1018.0,4.58,clear sky,2,Egypt,Africa,Large,2,0.7800007,Normal,MILD,,false
Cairo,CAI,12-04-2026,16.63,15.86,58,1017.0,3.59,clear sky,1,Egypt,Africa,Large,2,0.7699995,Normal,MILD,,false
Cairo,CAI,12-04-2026,15.75,15.0,62,1017.0,2.84,clear sky,0,Egypt,Africa,Large,2,0.75,Normal,MILD,,false
Cairo,CAI,12-04-2026,17.58,16.78,53,1018.0,1.9,clear sky,0,Egypt,Africa,Large,2,0.79999924,Normal,MILD,,false
Cairo,CAI,12-04-2026,22.22,21.39,34,1018.0,2.7,clear sky,0,Egypt,Africa,Large,2,0.8299999,Normal,MILD,,false
Cairo,CAI,12-04-2026,26.47,26.47,19,1015.0,2.78,clear sky,0,Egypt,Africa,Large,2,0.0,Normal,HOT,,false
Cairo,CAI,12-04-2026,26.98,26.05,19,1015.0,5.8,clear sky,0,Egypt,Africa,Large,2,0.9300003,Normal,HOT,,false
Cairo,CAI,12-04-2026,21.29,20.52,40,1018.0,7.54,clear sky,1,Egypt,Africa,Large,2,0.77000046,Normal,MILD,,false
